target,gender_F,income_high,income_low,country_USA,country_India,country_UK,age,time_since_last_gift,time_since_first_gift,max_gift,min_gift,mean_gift,number_gift
0,1,0,1,1,0,0,66,603,2766,109,66,87.33333333,6
0,1,0,1,0,1,0,45,312,2302,135,81,102.625,8
0,0,0,0,1,0,0,59,339,339,85,85,85,1
0,1,0,0,0,0,1,40,937,2565,132,57,92.88888889,9
0,1,0,0,0,1,0,30,1077,1182,105,96,100.5,2
0,1,0,0,0,1,0,27,721,2641,119,87,103.3333333,9
0,1,1,0,0,1,0,50,438,2125,151,141,146,2
0,1,0,0,1,0,0,75,219,2548,100,50,68.875,8
0,0,1,0,0,1,0,42,855,2718,113,71,91.6,5
0,1,0,0,0,0,1,100,1429,2162,85,45,65,2
0,0,0,1,0,1,0,46,1395,2514,107,63,83.85714286,7
0,0,0,1,0,1,0,67,1424,2673,153,61,98.28571429,7
0,0,0,0,0,1,0,54,712,2701,133,74,104.75,4
0,1,0,1,0,1,0,48,252,2689,129,87,106.3333333,3
0,1,0,0,1,0,0,25,247,2134,108,77,91.375,8
0,0,1,0,0,1,0,55,702,1903,105,83,96.25,4
0,1,1,0,0,1,0,68,1231,2357,121,102,109.25,4
0,0,0,0,1,0,0,49,413,413,88,88,88,1
0,0,1,0,1,0,0,57,607,2447,112,73,88.33333333,3
0,0,1,0,1,0,0,71,446,2617,144,108,124.1666667,6
0,0,0,0,1,0,0,53,966,2319,93,68,78.5,4
0,0,0,0,1,0,0,69,699,2603,101,51,84.66666667,6
0,1,0,0,0,1,0,41,294,1543,122,102,112.8,5
1,0,0,0,0,1,0,19,483,2004,117,91,104.3333333,3
0,1,0,0,0,1,0,55,829,1810,99,69,88.33333333,3
0,1,1,0,1,0,0,60,138,2364,88,78,83,2
0,0,0,0,1,0,0,60,566,2764,113,91,99.8,5
0,1,0,0,0,1,0,34,698,2616,127,75,96.57142857,7
0,0,1,0,0,0,1,60,716,2413,158,97,113.75,4
0,1,1,0,0,1,0,66,454,454,75,75,75,1
0,0,0,0,1,0,0,81,358,2151,105,65,81.75,4
0,1,0,0,0,1,0,52,592,1412,103,81,92,2
0,1,0,0,0,1,0,71,1199,2645,139,70,96.33333333,6
0,0,0,1,0,1,0,51,1119,1894,128,65,97.33333333,6
0,0,0,1,1,0,0,67,795,2373,89,61,74.8,5
0,1,0,1,1,0,0,35,100,1861,145,78,108.1111111,9
0,1,0,0,0,1,0,88,1235,1235,103,103,103,1
0,1,0,0,0,0,1,65,1313,2616,115,106,110.5,2
0,1,0,1,0,1,0,45,704,704,108,108,108,1
0,0,1,0,0,1,0,34,433,2708,118,56,87,4
0,0,1,0,0,0,1,66,754,1592,102,87,94.5,2
1,0,0,0,1,0,0,52,105,2358,116,60,84,6
0,0,1,0,0,1,0,46,420,2602,104,47,82.66666667,9
0,1,1,0,0,1,0,39,592,2354,104,61,87.8,5
1,0,1,0,0,0,1,60,216,2599,182,65,126.8571429,7
0,1,0,1,0,1,0,30,858,2736,128,69,103.1111111,9
0,0,0,0,1,0,0,40,700,2562,88,86,87,2
0,0,0,0,0,1,0,25,846,1910,129,38,90,6
0,1,0,1,1,0,0,51,284,2608,128,66,100.4444444,9
0,1,0,0,1,0,0,25,550,1930,111,90,97,3
0,0,0,0,1,0,0,77,132,132,40,40,40,1
1,0,0,0,0,1,0,64,228,2737,146,77,113.625,8
0,0,0,0,1,0,0,56,282,2661,101,55,82.42857143,7
0,0,0,0,0,1,0,86,1029,2528,116,69,99.5,8
0,1,0,0,1,0,0,62,880,2056,93,90,91.5,2
0,0,0,0,0,1,0,62,335,2547,88,50,73.5,6
0,1,0,1,0,1,0,19,891,2647,105,73,89.33333333,3
0,0,0,0,0,1,0,51,1078,1162,69,60,64.5,2
0,1,0,0,1,0,0,70,1579,2341,106,85,98.5,4
0,1,1,0,0,0,1,46,796,1599,123,87,105,2
0,1,0,0,1,0,0,32,1024,2749,116,72,92.33333333,6
1,0,0,0,1,0,0,78,110,2620,120,76,99,14
0,0,0,0,0,1,0,66,921,2616,102,53,83.66666667,9
0,0,1,0,1,0,0,67,768,2711,100,88,94.25,4
0,1,1,0,0,1,0,30,538,2745,113,58,79,6
0,0,1,0,1,0,0,50,855,2658,114,68,91.875,8
0,0,0,1,0,1,0,56,338,2169,94,56,77.4,5
0,0,0,1,0,1,0,28,1456,2669,123,85,110.8,5
0,0,0,0,1,0,0,68,566,2590,111,55,73.5,6
0,0,1,0,1,0,0,61,982,2230,112,70,93.4,5
0,1,0,0,0,0,1,52,191,1601,106,55,78.5,4
0,1,1,0,0,1,0,69,257,1220,127,45,91.25,4
0,1,1,0,1,0,0,35,1197,2521,119,65,93.33333333,9
0,0,0,0,0,1,0,60,866,2555,105,84,94.4,5
0,1,0,0,1,0,0,74,551,2663,107,69,93.14285714,7
0,1,1,0,1,0,0,60,1011,2653,102,64,78.2,5
0,1,0,0,0,1,0,43,230,2162,99,73,83.6,5
0,0,0,0,1,0,0,54,547,2009,143,50,89.16666667,6
0,0,0,0,1,0,0,22,1072,1072,82,82,82,1
0,0,0,1,1,0,0,44,768,1980,101,73,86.5,4
0,1,0,1,1,0,0,66,620,620,80,80,80,1
0,1,0,0,1,0,0,68,785,785,99,99,99,1
1,1,0,0,0,1,0,89,677,2740,128,71,106.5384615,13
0,1,0,1,0,1,0,73,322,1894,83,34,67.75,4
0,1,0,0,0,1,0,48,453,2145,108,71,93.33333333,3
0,1,0,0,1,0,0,44,858,1290,111,84,100.75,4
0,1,0,0,0,1,0,52,961,989,103,91,97,2
0,0,0,0,0,1,0,49,525,1766,125,100,109.4285714,7
0,1,0,0,1,0,0,23,1466,2659,121,61,92.14285714,7
0,1,0,1,0,1,0,39,1320,2663,118,29,69.8,5
0,0,1,0,1,0,0,54,844,2464,121,70,95.4,5
0,0,0,0,0,0,1,43,633,1864,76,61,67.25,4
0,1,0,0,1,0,0,67,1216,1963,121,106,113.5,2
0,1,0,0,0,1,0,89,763,2477,102,68,86.75,4
0,0,0,0,0,1,0,23,856,1451,151,83,124.3333333,3
0,1,0,1,0,1,0,41,984,1807,112,62,87,2
0,0,0,0,1,0,0,79,519,519,121,121,121,1
0,0,0,0,1,0,0,61,650,2140,134,101,117.5,2
0,0,1,0,0,1,0,60,959,959,77,77,77,1
0,1,0,0,1,0,0,66,920,2440,83,80,81.5,2
0,1,0,0,0,1,0,63,548,548,102,102,102,1
0,1,0,0,1,0,0,41,492,2644,122,91,104,9
0,0,1,0,0,1,0,24,860,860,70,70,70,1
0,1,0,0,1,0,0,28,451,2499,120,45,79,4
0,0,0,0,0,1,0,60,1069,2659,122,59,96.2,5
0,1,0,0,1,0,0,73,927,2725,113,34,83.2,5
0,1,0,0,0,1,0,82,864,1652,147,107,127,2
0,0,0,0,1,0,0,47,465,2698,95,64,86.5,4
0,1,0,0,0,1,0,53,62,2322,96,73,83.5,6
0,1,0,0,0,1,0,86,1278,1964,92,71,84.75,4
0,1,0,0,1,0,0,69,773,2740,127,81,100.5,8
0,1,0,0,1,0,0,52,857,1491,80,70,75.66666667,3
0,1,0,0,1,0,0,56,332,2695,91,91,91,2
0,1,0,0,1,0,0,83,868,2312,143,77,110.6666667,9
0,0,0,1,0,1,0,60,843,843,70,70,70,1
0,1,0,0,0,1,0,60,650,2735,125,67,99.16666667,6
0,1,0,0,1,0,0,71,603,2736,114,50,84,6
0,0,0,0,0,1,0,78,1177,2660,100,70,87,4
0,0,1,0,1,0,0,57,887,887,102,102,102,1
0,0,0,0,1,0,0,71,880,2545,113,68,91.14285714,7
0,1,0,0,0,0,1,51,711,2642,95,54,78.66666667,6
0,0,0,0,0,1,0,40,707,2706,133,84,102.8333333,6
0,0,0,1,0,1,0,20,702,1612,126,94,108.25,4
0,1,0,1,1,0,0,37,767,2440,87,29,57.14285714,7
1,1,1,0,0,1,0,55,562,2611,133,73,101.0833333,12
0,1,0,0,0,1,0,20,945,2162,121,89,101.3333333,3
0,0,0,0,0,1,0,36,496,1690,112,80,99,3
0,1,0,0,1,0,0,29,255,2468,150,90,116.8,10
0,1,1,0,0,1,0,36,1118,2760,129,76,108.75,4
0,1,1,0,0,0,1,63,716,2277,115,89,101,3
0,0,0,0,0,1,0,62,499,499,93,93,93,1
0,0,0,0,0,1,0,51,771,771,93,93,93,1
0,0,0,0,0,1,0,51,1000,2500,97,54,74.2,5
0,0,0,0,1,0,0,43,1123,2767,116,59,84,8
0,1,0,0,0,0,1,66,94,1636,99,26,70.75,8
0,1,0,1,0,1,0,32,742,2218,120,96,105,5
0,1,0,0,1,0,0,80,795,2236,111,79,95.75,4
0,1,0,0,0,1,0,48,805,2716,108,59,88,8
0,0,0,1,0,1,0,35,1145,2675,148,56,90,6
0,0,1,0,0,1,0,43,248,2738,98,54,80,7
0,0,0,1,0,1,0,20,470,1246,121,98,109.5,2
0,1,0,0,1,0,0,43,300,1969,96,44,79.57142857,7
0,1,0,1,0,1,0,52,321,2211,115,103,107.5,4
0,1,0,0,0,1,0,49,329,2088,137,82,100.5454545,11
0,0,0,0,0,1,0,50,912,2662,122,73,94.22222222,9
0,0,1,0,0,1,0,28,1095,2635,120,51,84.66666667,12
0,1,0,0,1,0,0,52,716,2669,94,31,61.625,8
0,0,0,0,1,0,0,64,961,2631,122,69,86.57142857,7
0,0,0,1,1,0,0,73,903,2355,119,45,91.875,8
0,0,0,0,1,0,0,49,777,2401,123,79,100.1666667,6
0,1,0,0,0,1,0,67,648,1983,102,64,81.5,6
0,0,1,0,1,0,0,74,395,2542,130,59,100.4444444,9
0,0,1,0,0,1,0,83,878,1549,119,75,93.5,4
0,0,0,0,0,1,0,48,913,913,48,48,48,1
1,0,0,0,0,1,0,45,164,2123,119,31,86.875,8
0,1,0,0,0,1,0,48,285,2459,125,63,84,12
0,0,1,0,0,0,1,41,1357,2250,103,41,69.75,4
0,0,0,0,0,1,0,60,237,765,85,68,76.5,2
0,1,0,0,1,0,0,62,299,2088,127,67,94,4
0,1,0,0,0,1,0,36,501,2767,90,53,72.66666667,6
0,0,0,0,0,1,0,64,859,1880,110,51,82.5,4
0,0,0,0,0,1,0,50,556,556,70,70,70,1
0,0,0,0,0,1,0,84,722,722,108,108,108,1
0,1,0,0,0,1,0,37,126,2144,105,63,78,5
0,1,0,1,1,0,0,55,892,2253,123,74,98.5,2
0,0,0,0,1,0,0,28,984,2671,164,63,91.30769231,13
0,0,1,0,0,0,1,62,409,2481,116,72,91.75,4
0,1,0,1,0,1,0,23,801,2365,114,85,103.6666667,3
0,0,0,0,0,1,0,83,981,2306,105,75,90.66666667,3
0,1,0,0,0,1,0,27,525,2411,131,71,99.8,5
0,0,0,1,1,0,0,61,656,1407,89,85,87,2
0,0,0,1,0,1,0,80,668,2613,105,61,88.5,10
0,1,0,0,1,0,0,29,1385,1851,112,82,92,3
0,0,0,0,0,1,0,60,582,2358,73,66,69.5,2
0,1,0,1,0,1,0,60,260,2691,116,66,93.25,4
0,1,0,0,0,1,0,53,482,2636,113,65,88.9,10
0,0,0,1,0,0,1,54,154,1948,127,59,92.83333333,6
0,1,1,0,0,1,0,56,151,151,94,94,94,1
0,1,0,0,0,1,0,44,1012,2651,134,82,104.5,4
0,1,0,1,0,1,0,95,165,2278,101,77,92.5,4
0,0,0,1,1,0,0,50,1046,1046,68,68,68,1
0,1,0,1,1,0,0,60,648,648,99,99,99,1
0,1,0,0,0,1,0,29,1049,2749,127,101,111.3333333,3
0,1,0,0,0,1,0,74,817,817,100,100,100,1
0,0,0,0,1,0,0,67,897,1503,100,95,97.5,2
0,1,0,1,0,0,1,58,990,2628,120,83,99.16666667,6
0,1,1,0,0,1,0,30,885,2589,98,55,79.25,4
0,0,1,0,1,0,0,37,199,199,96,96,96,1
0,0,1,0,0,1,0,51,787,2637,127,55,95.71428571,7
0,0,0,0,0,1,0,60,926,2624,107,74,92.5,4
1,0,0,0,0,0,1,44,190,2455,113,34,70.27272727,11
0,0,1,0,0,1,0,27,928,2539,140,89,106.1111111,9
0,1,1,0,0,1,0,29,641,2561,111,56,92.8,5
0,1,0,0,0,0,1,39,879,1867,103,81,92.25,4
0,1,0,1,1,0,0,45,667,2523,126,82,97.44444444,9
0,0,1,0,0,1,0,62,1156,1156,73,73,73,1
0,0,1,0,1,0,0,71,1350,2682,134,85,105.75,4
1,0,1,0,1,0,0,41,547,2692,146,90,107.1538462,13
0,1,0,0,0,0,1,45,1005,2534,112,71,85.85714286,7
1,1,0,0,0,1,0,30,779,2468,135,96,113.6666667,3
0,0,0,1,0,1,0,50,39,2553,144,108,117.8,5
0,0,1,0,1,0,0,67,1076,2589,115,47,81.14285714,7
0,0,1,0,1,0,0,32,987,2009,125,86,102.6,5
0,0,0,1,0,1,0,44,881,2726,138,76,99.25,8
0,1,0,0,0,1,0,28,922,2027,97,33,75.75,4
0,0,0,0,0,0,1,56,440,2719,125,80,101.3333333,6
0,1,0,0,1,0,0,66,670,1677,99,51,73.4,5
0,0,0,1,0,0,1,64,1016,2068,94,63,77.66666667,3
0,0,0,0,0,1,0,60,508,2643,111,59,90.8,5
0,0,0,0,0,1,0,77,856,1849,109,71,92.4,5
0,1,0,1,1,0,0,50,1757,2673,89,64,78.25,4
0,0,0,0,0,1,0,70,1165,1987,142,91,115.5,4
0,1,0,0,0,1,0,35,648,2438,142,85,108.6666667,3
0,0,0,0,0,1,0,85,270,957,105,92,98.5,2
0,1,0,0,0,1,0,36,205,2365,71,41,62.83333333,6
0,0,0,1,0,1,0,38,646,2266,90,77,81.66666667,3
0,0,0,0,1,0,0,66,459,459,83,83,83,1
0,0,0,0,0,1,0,33,144,2704,116,53,86.08333333,12
0,1,0,0,0,1,0,29,1526,1526,57,57,57,1
0,0,0,0,1,0,0,43,415,1312,94,41,73.375,8
0,0,0,0,0,0,1,82,1183,1656,90,60,74,4
0,0,0,0,0,1,0,71,477,2478,136,31,75.28571429,7
0,1,0,0,1,0,0,44,248,2013,101,61,79,7
0,0,1,0,0,0,1,27,582,2641,136,40,96.54545455,11
0,0,1,0,0,1,0,53,719,1593,110,82,97.66666667,6
0,1,0,1,0,1,0,45,816,2306,137,91,108.1666667,6
0,0,0,0,1,0,0,63,332,2729,101,74,83.66666667,3
0,0,0,0,0,1,0,58,1780,2615,117,47,92,5
0,1,0,1,0,1,0,53,988,1932,101,64,80.8,5
0,1,1,0,0,1,0,81,568,1005,120,69,90.33333333,3
0,0,0,1,0,1,0,24,913,2758,162,75,102,6
0,0,0,0,0,0,1,91,841,2113,100,78,92.75,4
0,0,0,0,1,0,0,37,1143,1143,79,79,79,1
0,1,0,0,0,1,0,36,277,2232,118,74,98,4
0,0,0,0,0,1,0,29,900,2486,95,52,79.42857143,7
1,0,0,0,0,0,1,74,493,1747,141,74,111.4,5
0,1,0,0,0,1,0,36,804,2686,136,40,96.4,10
0,1,0,0,1,0,0,66,344,2152,121,76,99.14285714,7
0,1,0,0,1,0,0,43,1042,1205,94,74,86.66666667,3
0,0,0,0,1,0,0,33,447,2231,138,45,93.75,8
0,1,0,0,0,1,0,75,1135,2526,131,64,106.25,12
0,1,0,1,0,0,1,60,839,839,115,115,115,1
0,0,0,1,0,1,0,43,1009,2454,94,41,61,4
0,1,0,0,0,1,0,43,525,2633,130,77,111.7777778,9
0,0,0,0,1,0,0,35,764,2146,138,82,106.5,8
0,0,0,0,1,0,0,21,1256,2063,121,68,87.6,5
0,0,0,1,0,0,1,60,837,2660,111,63,87.71428571,7
0,1,1,0,1,0,0,53,291,1329,86,14,57,3
0,1,0,0,0,1,0,60,223,2569,121,82,96,5
1,1,0,0,1,0,0,63,651,2440,112,76,96.8,5
0,0,0,1,0,1,0,50,1182,2599,101,62,86,3
0,0,0,0,0,1,0,60,920,2754,132,68,102.25,4
0,0,1,0,1,0,0,43,1323,2750,137,60,111.375,8
0,1,0,0,1,0,0,78,120,627,96,85,90.5,2
1,1,0,0,1,0,0,50,1005,2372,95,41,67.28571429,7
0,1,0,0,0,1,0,86,838,1605,142,104,118,5
0,0,0,0,0,1,0,89,258,2622,111,33,74.3,10
0,0,0,1,0,1,0,63,565,2324,126,85,104.8,5
0,1,0,0,0,0,1,53,628,2747,142,84,102.5,4
0,0,0,1,0,1,0,35,1075,2708,133,59,91,3
0,1,0,1,0,1,0,57,832,2584,110,72,91.5,6
1,1,0,0,1,0,0,62,653,2647,147,79,110.6,10
0,0,0,0,1,0,0,24,1651,1651,108,108,108,1
0,1,1,0,0,1,0,33,476,2521,87,42,70,7
0,0,0,0,1,0,0,52,313,2606,122,71,90.77777778,9
0,0,0,0,0,1,0,43,612,2653,126,63,91.875,8
1,1,0,0,0,1,0,88,619,2726,131,62,91.75,8
0,1,0,0,1,0,0,44,670,2702,116,59,85.3,10
0,0,0,0,0,1,0,54,1302,2726,97,40,64,10
0,0,0,1,0,1,0,38,1722,2378,123,85,104,2
0,0,0,0,0,1,0,53,438,1206,119,71,101.8,5
0,0,0,1,0,1,0,77,1097,2111,110,56,85.66666667,6
0,1,0,0,1,0,0,51,618,2455,105,61,90.66666667,9
0,1,0,0,0,1,0,51,1421,2353,104,87,97.33333333,3
0,1,0,0,1,0,0,104,377,1862,91,69,79.5,4
0,1,0,0,1,0,0,43,764,764,100,100,100,1
1,1,0,1,0,1,0,35,288,2571,113,84,94.16666667,6
0,0,0,1,0,1,0,55,301,2723,123,78,108,4
0,0,1,0,1,0,0,49,301,2417,138,71,90.4,5
0,1,0,0,0,1,0,70,95,2665,114,54,90.375,8
0,0,0,0,0,1,0,57,996,2685,136,84,97.75,4
0,0,0,0,1,0,0,60,390,2697,131,80,110.3636364,11
0,0,0,0,0,1,0,69,648,2737,128,43,82.85714286,7
0,0,0,0,1,0,0,72,577,2315,111,36,65,6
0,0,1,0,1,0,0,46,726,2650,105,83,96.71428571,7
0,0,0,0,1,0,0,60,778,2668,127,73,97.6,5
1,0,0,1,0,1,0,64,830,2730,149,64,104.9090909,11
1,1,1,0,1,0,0,69,383,2737,128,49,105.3636364,11
0,0,0,0,1,0,0,59,402,2460,104,87,96.8,5
0,1,0,0,1,0,0,50,424,424,106,106,106,1
0,1,1,0,0,1,0,39,195,195,111,111,111,1
0,0,0,0,1,0,0,55,905,905,76,76,76,1
0,1,0,0,1,0,0,86,361,2714,148,99,122.5555556,9
0,1,1,0,1,0,0,51,368,1339,73,27,50,2
0,1,1,0,0,1,0,49,879,2436,104,73,86.8,5
0,0,1,0,0,1,0,63,576,2631,95,48,74.75,4
0,1,1,0,0,1,0,74,121,2411,132,72,100.8888889,9
1,0,0,0,0,1,0,27,584,2713,134,69,90.6,10
0,0,1,0,0,1,0,68,281,2693,119,54,85.83333333,6
0,0,0,0,1,0,0,60,1030,2260,104,61,85.66666667,6
0,1,0,1,1,0,0,45,355,1940,100,56,75,5
0,0,0,0,1,0,0,36,1077,2369,125,70,95.33333333,6
0,1,0,0,1,0,0,60,437,1123,116,78,100.3333333,3
0,0,0,0,1,0,0,53,1221,2679,127,41,90.11111111,9
0,1,0,1,0,1,0,55,1079,1804,114,50,91.875,8
0,0,0,0,1,0,0,73,477,2236,123,117,120,3
0,1,0,0,0,1,0,22,535,2259,83,32,65.66666667,3
0,0,0,0,0,1,0,57,322,2625,127,110,120.25,4
0,1,0,0,1,0,0,47,332,332,71,71,71,1
0,1,1,0,1,0,0,39,707,2462,96,39,72.63636364,11
0,1,0,0,1,0,0,40,650,2564,110,39,80.71428571,7
1,1,0,0,1,0,0,60,1420,2184,103,56,81.5,6
0,1,0,0,0,1,0,44,129,2066,89,68,75.33333333,3
0,1,0,0,0,1,0,63,883,2715,101,69,83.42857143,7
0,1,0,1,0,1,0,44,977,2667,103,60,87.63636364,11
0,0,0,0,0,1,0,60,926,2353,117,62,88.33333333,6
0,1,0,0,1,0,0,60,908,2201,101,63,88.5,4
0,1,0,1,1,0,0,34,305,2340,115,59,90.66666667,3
0,1,1,0,0,0,1,51,271,2460,136,71,103.3333333,9
0,1,0,0,0,1,0,58,883,2611,125,93,108.25,4
0,1,1,0,0,1,0,43,1061,1843,106,49,72.33333333,3
0,1,0,0,0,1,0,54,41,2720,91,40,73.8,5
0,1,0,0,1,0,0,87,581,581,49,49,49,1
0,0,0,0,0,1,0,52,679,2450,112,64,89.55555556,9
1,1,0,0,1,0,0,82,773,2567,153,91,123,4
0,1,0,0,0,1,0,44,1065,2762,71,35,58.22222222,9
0,1,0,0,1,0,0,60,863,2456,107,52,83.25,4
0,0,0,0,1,0,0,33,666,1831,139,87,116.6666667,3
0,1,0,0,0,1,0,60,338,1838,67,39,53,2
0,1,0,1,1,0,0,60,653,2204,66,49,59.66666667,3
0,1,0,0,0,1,0,46,464,464,85,85,85,1
0,0,0,0,0,0,1,38,834,2426,92,68,80.33333333,3
0,1,0,0,1,0,0,71,1376,2539,123,70,101.5,6
0,1,0,1,0,0,1,81,172,1213,108,58,83,2
0,0,0,0,0,1,0,69,491,2694,101,46,80.8,10
0,0,0,0,0,1,0,50,465,2738,97,53,73.54545455,11
0,0,0,1,0,1,0,39,721,2552,110,74,90.71428571,7
0,0,0,0,0,1,0,61,969,2603,120,72,97.33333333,9
0,1,0,0,0,0,1,70,982,2429,91,62,75.6,5
0,1,0,0,1,0,0,59,198,198,128,128,128,1
0,1,0,0,0,1,0,59,1276,2702,128,80,102.5,8
0,1,0,0,0,1,0,73,668,2479,139,97,114.5,4
0,0,1,0,0,1,0,64,1039,2340,106,76,94.6,5
0,0,0,1,0,0,1,44,683,2622,142,91,113,3
0,1,0,0,1,0,0,39,1098,2494,126,72,100.7,10
0,1,0,0,1,0,0,72,966,2697,88,57,78.5,4
0,0,0,0,1,0,0,88,1059,2305,109,72,98.4,5
0,0,0,0,1,0,0,39,340,1680,71,38,54.5,2
0,1,0,0,0,1,0,79,923,2552,157,100,121.75,8
0,0,0,0,0,1,0,44,744,744,84,84,84,1
0,0,0,0,0,1,0,61,609,2410,107,85,97.5,4
0,0,0,0,0,0,1,43,835,2544,167,82,117.1,10
0,1,0,0,0,1,0,92,391,2596,99,56,74.4,5
0,1,0,0,0,1,0,70,876,2527,93,54,74.71428571,7
0,1,0,0,0,1,0,52,581,2765,136,79,107.2,5
0,1,0,0,0,1,0,76,1048,2368,96,46,73,4
0,1,1,0,1,0,0,43,775,1130,129,57,93,2
0,0,0,0,0,0,1,77,615,2716,113,59,86.6,10
0,1,0,0,0,0,1,50,1480,2703,95,51,68.8,5
1,1,0,0,1,0,0,59,217,2695,147,72,112.1111111,9
0,0,0,1,0,1,0,21,644,2638,131,58,88.1,10
0,1,0,1,0,0,1,102,348,2190,146,88,112.6666667,3
0,0,0,0,1,0,0,60,200,1484,86,71,79,3
0,0,0,0,0,1,0,62,262,2054,120,66,89.2,5
1,1,1,0,1,0,0,80,683,2672,150,84,106.9,10
0,0,0,0,1,0,0,81,724,2728,120,47,69.33333333,9
0,1,0,0,1,0,0,36,315,2602,103,63,84.85714286,7
1,0,1,0,0,1,0,56,711,2762,126,45,91.7,10
0,1,0,1,0,1,0,56,789,2616,93,30,68,11
0,0,0,1,1,0,0,37,476,2654,97,59,79.85714286,7
0,1,0,0,0,1,0,33,921,2657,104,53,81.14285714,7
0,1,1,0,1,0,0,35,565,2515,129,58,95.83333333,6
0,0,0,0,1,0,0,39,495,495,96,96,96,1
0,1,1,0,0,1,0,64,514,1815,106,72,87.4,5
0,1,0,0,1,0,0,35,508,1583,112,64,89,4
0,0,0,0,1,0,0,53,489,2502,90,43,71.3,10
0,0,0,1,1,0,0,63,1026,2570,126,47,96.1,10
0,0,0,0,0,1,0,52,586,2692,119,58,83.5,8
0,1,1,0,0,0,1,66,1021,2394,146,90,122.1428571,7
0,0,0,0,0,1,0,60,295,2265,124,78,97.66666667,6
0,1,0,0,1,0,0,76,960,2760,104,60,75,3
0,1,0,0,0,0,1,66,507,2562,144,68,108.2857143,7
0,1,0,0,0,1,0,49,427,2209,126,55,84.375,8
1,1,0,0,1,0,0,74,362,1455,73,66,69.5,2
0,1,0,0,0,1,0,62,1156,2764,149,73,110.75,8
0,1,0,1,0,1,0,85,488,2440,96,37,66.125,8
0,1,0,1,1,0,0,33,882,2685,119,56,93.3,10
0,0,1,0,0,1,0,55,701,2250,109,90,99.5,4
0,1,0,0,0,1,0,70,824,1540,95,81,88.75,4
0,0,0,1,0,1,0,76,757,2395,102,84,90.25,4
0,1,0,0,1,0,0,65,1133,1133,77,77,77,1
0,0,0,0,1,0,0,32,803,2453,99,46,83.25,4
0,1,0,0,0,1,0,24,1009,1009,92,92,92,1
0,1,0,0,0,1,0,55,910,2514,102,63,87,4
0,1,0,0,0,1,0,51,378,2552,128,81,100.1666667,6
